,Number of Samples,Batch Size,Number of Hidden Layers,Number of Epochs,Training Time
0,100,16,256,300,65.2991
1,100,16,512,100,27.893
2,100,16,512,300,85.2397
3,100,64,256,100,6.6253
4,100,64,256,300,19.3441
5,100,64,512,100,8.2763
6,100,64,512,300,25.1843
7,200,16,256,100,50.5211
8,200,16,256,300,149.4335
9,200,16,512,100,58.8203
10,200,16,512,300,181.0379
11,200,64,256,100,14.6104
12,200,64,256,300,43.6614
13,200,64,512,100,19.3923
14,200,64,512,300,60.86
15,400,16,256,100,117.9139
16,400,16,256,300,341.1555
17,400,16,512,100,138.3191
18,400,16,512,300,406.2094
19,400,64,256,100,42.4684
20,400,64,256,300,120.3792
21,400,64,512,100,51.09
22,400,64,512,300,150.4429
23,600,16,256,100,178.7883
24,600,16,256,300,531.3634
25,600,16,512,100,208.358
26,600,16,512,300,625.3431
27,600,64,256,100,65.4947
28,600,64,256,300,197.2308
29,600,64,512,100,77.3129
30,600,64,512,300,234.3337
31,100,16,128,100,19.8783
32,100,16,128,200,39.1006
33,100,16,128,300,59.0527
34,100,16,128,400,81.1058
35,100,16,128,500,99.0905
36,100,16,256,100,21.2521
37,100,16,256,200,42.4735
38,100,16,256,300,65.2739
39,100,16,256,400,89.4192
40,100,16,256,500,111.3385
41,100,16,512,100,28.2024
42,100,16,512,200,56.3019
43,100,16,512,300,84.7964
44,100,16,512,400,111.74
45,100,16,512,500,134.2353
46,100,32,128,100,8.9642
47,100,32,128,200,17.6298
48,100,32,128,300,26.5343
49,100,32,128,400,35.1514
50,100,32,128,500,44.6052
51,100,32,256,100,9.6831
52,100,32,256,200,19.4734
53,100,32,256,300,28.5824
54,100,32,256,400,39.4642
55,100,32,256,500,48.968
56,100,32,512,100,12.4708
57,100,32,512,200,24.703
58,100,32,512,300,36.923
59,100,32,512,400,50.2395
60,100,32,512,500,64.0799
61,100,64,128,100,5.5754
62,100,64,128,200,11.0887
63,100,64,128,300,16.5684
64,100,64,128,400,22.054
65,100,64,128,500,27.1014
66,100,64,256,100,6.1599
67,100,64,256,200,12.4148
68,100,64,256,300,18.4044
69,100,64,256,400,24.2775
70,100,64,256,500,31.292
71,100,64,512,100,8.545
72,100,64,512,200,16.7507
73,100,64,512,300,25.0427
74,100,64,512,400,33.1421
75,100,64,512,500,41.0589
76,200,16,128,100,42.8808
77,200,16,128,200,89.2909
78,200,16,128,300,134.5097
79,200,16,128,400,187.5605
80,200,16,128,500,229.372
81,200,16,256,100,49.4628
82,200,16,256,200,103.3988
83,200,16,256,300,149.3513
84,200,16,256,400,204.9566
85,200,16,256,500,253.5953
86,200,16,512,100,63.3467
87,200,16,512,200,122.8907
88,200,16,512,300,184.8234
89,200,16,512,400,242.6242
90,200,16,512,500,306.4517
91,200,32,128,100,26.7922
92,200,32,128,200,57.6005
93,200,32,128,300,83.2299
94,200,32,128,400,109.3014
95,200,32,128,500,138.8238
96,200,32,256,100,29.794
97,200,32,256,200,61.1255
98,200,32,256,300,94.5774
99,200,32,256,400,119.7677
100,200,32,256,500,154.1461
101,200,32,512,100,38.4908
102,200,32,512,200,78.7682
103,200,32,512,300,118.2473
104,200,32,512,400,156.5069
105,200,32,512,500,190.0281
106,200,64,128,100,14.1427
107,200,64,128,200,27.3546
108,200,64,128,300,40.5879
109,200,64,128,400,52.6398
110,200,64,128,500,67.5843
111,200,64,256,100,16.1065
112,200,64,256,200,29.8143
113,200,64,256,300,44.4861
114,200,64,256,400,58.0309
115,200,64,256,500,74.9701
116,200,64,512,100,21.0448
117,200,64,512,200,41.1872
118,200,64,512,300,59.8389
119,200,64,512,400,77.6901
120,200,64,512,500,99.6336
121,300,16,128,100,69.3945
122,300,16,128,200,143.1879
123,300,16,128,300,213.4153
124,300,16,128,400,286.7649
125,300,16,128,500,353.0791
126,300,16,256,100,80.17
127,300,16,256,200,155.4665
128,300,16,256,300,238.6518
129,300,16,256,400,320.6282
130,300,16,256,500,396.1997
131,300,16,512,100,97.5728
132,300,16,512,200,188.451
133,300,16,512,300,287.012
134,300,16,512,400,379.2474
135,300,16,512,500,477.413
136,300,32,128,100,42.1098
137,300,32,128,200,83.8583
138,300,32,128,300,120.2018
139,300,32,128,400,165.2027
140,300,32,128,500,209.3696
141,300,32,256,100,46.7273
142,300,32,256,200,94.2223
143,300,32,256,300,139.8711
144,300,32,256,400,182.7469
145,300,32,256,500,234.1435
146,300,32,512,100,56.7976
147,300,32,512,200,115.2642
148,300,32,512,300,171.8986
149,300,32,512,400,230.5006
150,300,32,512,500,283.796
151,300,64,128,100,20.8488
152,300,64,128,200,40.2533
153,300,64,128,300,59.463
154,300,64,128,400,86.9109
155,300,64,128,500,102.3044
156,300,64,256,100,23.6151
157,300,64,256,200,48.9809
158,300,64,256,300,73.0965
159,300,64,256,400,93.7689
160,300,64,256,500,122.5057
161,300,64,512,100,30.8933
162,300,64,512,200,59.5865
163,300,64,512,300,90.4107
164,300,64,512,400,121.9548
165,300,64,512,500,155.0778
166,400,16,128,100,104.019
167,400,16,128,200,213.3964
168,400,16,128,300,317.9254
169,400,16,128,400,425.0877
170,400,16,128,500,533.9136
171,400,16,256,100,118.0928
172,400,16,256,200,234.0925
173,400,16,256,300,349.7589
174,400,16,256,400,466.2501
175,400,16,256,500,587.5394
176,400,16,512,100,138.4849
177,400,16,512,200,280.7106
178,400,16,512,300,418.4246
179,400,16,512,400,560.5042
180,400,16,512,500,701.2358
181,400,32,128,100,61.4541
182,400,32,128,200,124.0037
183,400,32,128,300,177.1895
184,400,32,128,400,246.0669
185,400,32,128,500,310.9263
186,400,32,256,100,68.6614
187,400,32,256,200,137.3514
188,400,32,256,300,196.3261
189,400,32,256,400,276.4767
190,400,32,256,500,343.2099
191,400,32,512,100,83.0769
192,400,32,512,200,170.7859
193,400,32,512,300,247.3495
194,400,32,512,400,339.7329
195,400,32,512,500,420.4839
196,400,64,128,100,38.7407
197,400,64,128,200,75.0989
198,400,64,128,300,101.7187
199,400,64,128,400,144.9233
200,400,64,128,500,180.8624
201,400,64,256,100,43.0575
202,400,64,256,200,80.9796
203,400,64,256,300,125.7988
204,400,64,256,400,164.5011
205,400,64,256,500,209.0276
206,400,64,512,100,50.9966
207,400,64,512,200,101.1685
208,400,64,512,300,155.0721
209,400,64,512,400,206.2048
210,400,64,512,500,253.2812
