,Number of elements,Batch size,Unit size,Number of epochs,Duration
0,100,16,256,300,35.2267
1,100,16,512,100,26.5269
2,100,16,512,300,67.8763
3,100,64,256,100,11.3822
4,100,64,256,300,21.1676
5,100,64,512,100,17.6933
6,100,64,512,300,40.2427
7,200,16,256,100,28.6334
8,200,16,256,300,75.8388
9,200,16,512,100,55.7473
10,200,16,512,300,161.2345
11,200,64,256,100,17.4374
12,200,64,256,300,41.7498
13,200,64,512,100,34.7144
14,200,64,512,300,92.365
15,400,16,256,100,49.6209
16,400,16,256,300,138.737
17,400,16,512,100,110.6444
18,400,16,512,300,324.8531
19,400,64,256,100,36.2681
20,400,64,256,300,93.7659
21,400,64,512,100,75.8068
22,400,64,512,300,219.963
23,600,16,256,100,74.7764
24,600,16,256,300,218.6742
25,600,16,512,100,164.0017
26,600,16,512,300,481.9534
27,600,64,256,100,46.3849
28,600,64,256,300,128.4751
29,600,64,512,100,97.8079
30,600,64,512,300,295.726
31,100,16,128,100,12.94
32,100,16,128,200,19.6305
33,100,16,128,300,25.7447
34,100,16,128,400,31.7429
35,100,16,128,500,38.33
36,100,16,256,100,16.0434
37,100,16,256,200,26.3559
38,100,16,256,300,36.9862
39,100,16,256,400,48.5768
40,100,16,256,500,59.4442
41,100,16,512,100,28.3558
42,100,16,512,200,52.4561
43,100,16,512,300,74.394
44,100,16,512,400,99.3054
45,100,16,512,500,121.2948
46,100,32,128,100,9.9289
47,100,32,128,200,13.5591
48,100,32,128,300,17.3819
49,100,32,128,400,21.2292
50,100,32,128,500,24.6352
51,100,32,256,100,12.7816
52,100,32,256,200,18.8597
53,100,32,256,300,25.6435
54,100,32,256,400,33.5693
55,100,32,256,500,40.8934
56,100,32,512,100,20.2241
57,100,32,512,200,33.8322
58,100,32,512,300,47.239
59,100,32,512,400,60.9173
60,100,32,512,500,74.6536
61,100,64,128,100,9.2998
62,100,64,128,200,12.1007
63,100,64,128,300,15.3865
64,100,64,128,400,18.4783
65,100,64,128,500,21.5903
66,100,64,256,100,11.503
67,100,64,256,200,16.5241
68,100,64,256,300,22.0919
69,100,64,256,400,28.3189
70,100,64,256,500,33.1474
71,100,64,512,100,18.3813
72,100,64,512,200,30.0883
